Company Name,Tags,Phone,Address
巴川香港有限公司,影印機及用品, 3549 6721,紅磡 國際都會
新利廢紙五金公司,"廢紙,環保回收", 2428 1299,葵涌 冠華鏡廠第三工業大廈
日昇科技文儀,影印機及用品, 2866 3611,長沙灣 榮吉工業大廈
北辰香港公司,影印機及用品, 2407 1486,荃灣 立泰工業中心
羽創自動科技有限公司,影印機及用品, 2330 7939,馬頭角 飛達工商業中心
京瓷美達工業(香港)有限公司,影印機及用品, 2410 8227,葵涌 美達中心
怡和科技(香港)有限公司,影印機及用品, 2590 9090,觀塘 創紀之城
信達行,影印機及用品, 2423 9730,葵涌 華業工業大廈
泰時商業用品公司,影印機及用品, 8201 1861,長沙灣 麗蘿樓
專業回收服務有限公司,"環保回收,廢紙", 2616 9500,元朗 洪水橋廈村屏廈路DD125Lot1869
Chung Win Investments Ltd,廢紙, 2552 0265,"Tonnochy Towers, Wan Chai"
Fat Kee Environment Recylce Co,廢紙, 2511 8786,"Hung Yip Bldg, Wan Chai"
Hop Hing Ho,廢紙, 2384 0520,"44 Battery St, Yau Ma Tei"
Hop Kee Waste Paper Metal Co,廢紙, 2540 0541,"20 Tai Ping Shan St, Sheung Wan"
Kwong Lee Metal & Waste Paper Co,廢紙, 2887 8629,"Conwell Mans, North Point"
Lau Sui Cheung,廢紙, 2745 6936,"552 Fuk Wa St, Cheung Sha Wan"
廣年化工有限公司,"化工原料,橡膠製品,黏膠及膠水,Adhesive Tape,Adhesive,glue", 2687 2462,沙田 火炭山尾街31-41號華樂工業中心B座21樓28室
Lee Pik Hung,廢紙, 2477 9865,"Pak Sha Tsuen, Yuen Long"
Man Hing Ind Co,廢紙, 2479 9551,"Lung Chu Bldg, Yuen Long"
May Luen Cleaning & Recycle Ltd,廢紙, 2576 5654,"Kwan Yick Bldg, Sai Ying Pun"
Sam Lee Co,廢紙, 2898 1632,"Decca Ind Centre, Chai Wan"
聯合樹脂(遠東)有限公司,"黏膠及膠水,881 Liquid Nail,881,881釘膠,881萬能膠,881膠水", 2702 1802,葵涌 葵喜街26號金發工業大廈第一座7樓C室
港之星貿易公司,"化工原料,黏膠及膠水,glue,Humiseal,wax,石蜡,熱熔膠,膠水", 2656 0346,觀塘 成業街15-17號成運工業大廈6樓10室
展豐實業製品有限公司,"黏膠及膠水,Adhesive Tape,Adhesive,Dow Corning", 2341 7108,觀塘 興業街16-18號美興工業大廈B座11樓B5室
明泰公司,黏膠及膠水, 2549 4411,西營盤 皇后大道西335-339號崑保商業大廈7字樓701室
三鍵香港有限公司,黏膠及膠水, 2836 3068,尖沙咀 港威大廈
安士澳黏合劑亞洲有限公司,黏膠及膠水, 2805 8333,觀塘 創富中心
成興化工有限公司,黏膠及膠水, 2388 7715,油麻地 吳松街55
金寶粘合劑行,黏膠及膠水, 2396 6893,荃灣 永華工業大廈
星謙化工控股有限公司,黏膠及膠水, (853) 2870 1717,中區 都爹利街6號印刷行3樓306室
德邦膠水(香港)有限公司,黏膠及膠水, 2870 0461,筲箕灣 逸濤灣
Kln Sodium Silicate Fty Ltd,黏膠及膠水, 2719 1425,"Wo Mei Tsuen, Sai Kung"
立時得香港有限公司,黏膠及膠水, 2405 3233,長沙灣 經達廣場
SSK OPT Ltd,顯微鏡, 2750 5883,"Tonic Ind Centre, Kowloon Bay"
靄華押業信貸有限公司,"當舖,Mortgage,Pawnshop,一按,二按,按揭,按揭顧問,當舖,樓宇按揭", 2833 2065,灣仔 杜老誌道6號群策大廈23樓2302-2303室
Chuen Fat Pawn Shop,當舖, 2881 1708,"1 Pennington St, Causeway Bay"
Fu On (Wing Kee) Pawn Shop,當舖, 2631 0942,"Fu Fai Gdn Shopping Centre, Ma On Shan"
Wing Fat Pawn Shop,當舖, 2301 3393,"Friends' Hse, Tsim Sha Tsui"
Yau On Pawn Shop,當舖, 2665 1876,"Jade Plaza Coml Complex, Tai Po"
大益押,當舖, 2384 9434,油麻地 永華大廈
同昌,當舖, 2396 1921,旺角 亞皆老街37
同豐押,當舖, 2507 4705,灣仔 誌寶大廈
和豐押,當舖, 2891 4884,灣仔 金龍大廈
信安大押,當舖, 2459 6463,屯門 萬成樓
振安押,當舖, 2573 0154,灣仔 灣仔道91
寶亨押,當舖, 2499 1348,荃灣 德寶大廈
Cheung Lee Pawnshop (Man Kee),當舖, 2362 0641,紅磡 107 Ma Tau Wai Rd
晟楠科技(香港)有限公司,"錫銲料,Solder,tin,鋅錫料,錫半球,錫條,錫焊料,錫球,錫銅鎳,錫線,錫鋅料", 2688 5283,沙田 火炭坳背灣街34-36號豐盛工業中心B座3樓9室
Asahi Metals (HK) Ltd,錫銲料, 2492 7154,"Wah Wai Ind Bldg, Tsuen Wan"
HK Soldercoat Co Ltd,錫銲料, 2947 7537,"World-Wide Ind Centre, Sha Tin"
千住金屬(香港)有限公司,錫銲料, 2376 3319,沙田 富騰工業中心
青木科研有限公司,錫銲料, 2498 9313,屯門 建榮工業大廈
華大焊錫製品有限公司,錫銲料, 2614 6621,荃灣 永健工業大廈
Yik Shing Tat New Solder Mfr Ltd,錫銲料, 2793 2092,"Westin Centre, Kwun Tong"
